Id,House Type,Zone,LotFrontage,LotArea,Street,Alley Type,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Type of Dwelling,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Roof Material,Exterior Quality,Exterior Condition,BsmtQual,BsmtCond,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical System,1stFlrSF,2ndFlrSF,Above Ground Living Area,KitchenQual,Total Rm above Ground,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,SalePrice
13,20,RL,0,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,6,1962,1962,Hip,CompShg,TA,TA,TA,TA,175,912,GasA,TA,Y,SBrkr,912,0,912,TA,4,0,NA,Detchd,1962,Unf,1,352,TA,TA,Y,9,2008,WD,Normal,144000
14,20,RL,91,10652,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2006,2007,Gable,CompShg,Gd,TA,Gd,TA,1494,1494,GasA,Ex,Y,SBrkr,1494,0,1494,Gd,7,1,Gd,Attchd,2006,RFn,3,840,TA,TA,Y,8,2007,New,Partial,279500
15,20,RL,NA,10920,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1Fam,1Story,6,5,1960,1960,Hip,CompShg,TA,TA,TA,TA,520,1253,GasA,TA,Y,SBrkr,1253,0,1253,TA,5,1,Fa,Attchd,1960,RFn,1,352,TA,TA,Y,5,2008,WD,Normal,157000
16,45,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,TA,TA,TA,TA,832,832,GasA,Ex,Y,FuseA,854,0,854,TA,5,0,NA,Detchd,1991,Unf,2,576,TA,TA,Y,7,2007,WD,Normal,132000
17,20,RL,0,11241,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,1Fam,1Story,6,7,1970,1970,Gable,CompShg,TA,TA,TA,TA,426,1004,GasA,Ex,Y,SBrkr,1004,0,1004,TA,5,1,TA,Attchd,1970,Fin,2,480,TA,TA,Y,3,2010,WD,Normal,149000
18,90,RL,72,10791,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Duplex,1Story,4,5,1967,1967,Gable,CompShg,TA,TA,NA,NA,0,0,GasA,TA,Y,SBrkr,1296,0,1296,TA,6,0,NA,CarPort,1967,Unf,2,516,TA,TA,Y,10,2006,WD,Normal,90000
19,20,RL,66,13695,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,1Fam,1Story,5,5,2004,2004,Gable,CompShg,TA,TA,TA,TA,468,1114,GasA,Ex,Y,SBrkr,1114,0,1114,Gd,6,0,NA,Detchd,2004,Unf,2,576,TA,TA,Y,6,2008,WD,Normal,159000
20,20,RL,70,7560,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,6,1958,1965,Hip,CompShg,TA,TA,TA,TA,525,1029,GasA,TA,Y,SBrkr,1339,0,1339,TA,6,0,NA,Attchd,1958,Unf,1,294,TA,TA,Y,5,2009,COD,Abnorml,139000
21,60,RL,101,14215,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,1Fam,2Story,8,5,2005,2006,Gable,CompShg,Gd,TA,Ex,TA,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,Gd,9,1,Gd,BuiltIn,2005,RFn,3,853,TA,TA,Y,11,2006,New,Partial,325300
22,45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,TA,TA,TA,TA,637,637,GasA,Ex,Y,FuseF,1108,0,1108,Gd,6,1,Gd,Attchd,1930,Unf,1,280,TA,TA,N,6,2007,WD,Normal,139400
23,20,RL,75,9742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,8,5,2002,2002,Hip,CompShg,Gd,TA,Gd,TA,1777,1777,GasA,Ex,Y,SBrkr,1795,0,1795,Gd,7,1,Gd,Attchd,2002,RFn,2,534,TA,TA,Y,9,2008,WD,Normal,230000
24,120,RM,44,4224,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,TA,TA,Gd,TA,200,1040,GasA,TA,Y,SBrkr,1060,0,1060,TA,6,1,TA,Attchd,1976,Unf,2,572,TA,TA,Y,6,2007,WD,Normal,129900
25,20,RL,NA,8246,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,8,1968,2001,Gable,CompShg,TA,Gd,TA,TA,204,1060,GasA,Ex,Y,SBrkr,1060,0,1060,Gd,6,1,TA,Attchd,1968,Unf,1,270,TA,TA,Y,5,2010,WD,Normal,154000
26,20,RL,110,14230,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,1Fam,1Story,8,5,2007,2007,Gable,CompShg,Gd,TA,Gd,TA,1566,1566,GasA,Ex,Y,SBrkr,1600,0,1600,Gd,7,1,Gd,Attchd,2007,RFn,3,890,TA,TA,Y,7,2009,WD,Normal,256300
27,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1Fam,1Story,5,7,1951,2000,Gable,CompShg,TA,TA,TA,TA,180,900,GasA,TA,Y,SBrkr,900,0,900,Gd,5,0,NA,Detchd,2005,Unf,2,576,TA,TA,Y,5,2010,WD,Normal,134800
28,20,RL,98,11478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,1Story,8,5,2007,2008,Gable,CompShg,Gd,TA,Ex,TA,486,1704,GasA,Ex,Y,SBrkr,1704,0,1704,Gd,7,1,Gd,Attchd,2008,RFn,3,772,TA,TA,Y,5,2010,WD,Normal,306000
29,20,RL,47,16321,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,1Fam,1Story,5,6,1957,1997,Gable,CompShg,TA,TA,TA,TA,207,1484,GasA,TA,Y,SBrkr,1600,0,1600,TA,6,2,Gd,Attchd,1957,RFn,1,319,TA,TA,Y,12,2006,WD,Normal,207500
30,30,RM,60,6324,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,1Fam,1Story,4,6,1927,1950,Gable,CompShg,TA,TA,TA,TA,520,520,GasA,Fa,N,SBrkr,520,0,520,Fa,4,0,NA,Detchd,1920,Unf,1,240,Fa,TA,Y,5,2008,WD,Normal,68500
31,70,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,TA,Fa,TA,TA,649,649,GasA,TA,N,SBrkr,649,668,1317,TA,6,0,NA,Detchd,1920,Unf,1,250,TA,Fa,N,7,2008,WD,Normal,40000
32,20,RL,NA,8544,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,1Fam,1Story,5,6,1966,2006,Gable,CompShg,TA,TA,TA,TA,1228,1228,GasA,Gd,Y,SBrkr,1228,0,1228,Gd,6,0,NA,Attchd,1966,Unf,1,271,TA,TA,Y,6,2008,WD,Normal,149350
33,20,RL,85,11049,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,1Fam,1Story,8,5,2007,2007,Gable,CompShg,Gd,TA,Ex,TA,1234,1234,GasA,Ex,Y,SBrkr,1234,0,1234,Gd,7,0,NA,Attchd,2007,RFn,2,484,TA,TA,Y,1,2008,WD,Normal,179900
34,20,RL,70,10552,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,5,1959,1959,Hip,CompShg,TA,TA,TA,TA,380,1398,GasA,Gd,Y,SBrkr,1700,0,1700,Gd,6,1,Gd,Attchd,1959,RFn,2,447,TA,TA,Y,4,2010,WD,Normal,165500
35,120,RL,60,7313,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,Ex,TA,Ex,TA,408,1561,GasA,Ex,Y,SBrkr,1561,0,1561,Ex,6,1,Gd,Attchd,2005,Fin,2,556,TA,TA,Y,8,2007,WD,Normal,277500
36,60,RL,108,13418,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,CompShg,Gd,TA,Ex,TA,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,2452,Gd,9,1,Gd,BuiltIn,2004,Fin,3,691,TA,TA,Y,9,2006,WD,Normal,309000
37,20,RL,112,10859,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,1Fam,1Story,5,5,1994,1995,Gable,CompShg,TA,TA,Gd,TA,1097,1097,GasA,Ex,Y,SBrkr,1097,0,1097,TA,6,0,NA,Attchd,1995,Unf,2,672,TA,TA,Y,6,2009,WD,Normal,145000
38,20,RL,74,8532,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,6,1954,1990,Hip,CompShg,TA,TA,TA,TA,84,1297,GasA,Gd,Y,SBrkr,1297,0,1297,TA,5,1,TA,Attchd,1954,Fin,2,498,TA,TA,Y,10,2009,WD,Normal,153000
39,20,RL,68,7922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,7,1953,2007,Gable,CompShg,TA,Gd,TA,TA,326,1057,GasA,TA,Y,SBrkr,1057,0,1057,Gd,5,0,NA,Detchd,1953,Unf,1,246,TA,TA,Y,1,2010,WD,Abnorml,109000
40,90,RL,65,6040,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Duplex,1Story,4,5,1955,1955,Gable,CompShg,TA,TA,NA,NA,0,0,GasA,TA,N,FuseP,1152,0,1152,Fa,6,0,NA,NA,NA,NA,0,0,NA,NA,N,6,2008,WD,AdjLand,82000
41,20,RL,84,8658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,6,5,1965,1965,Gable,CompShg,TA,TA,TA,TA,445,1088,GasA,Ex,Y,SBrkr,1324,0,1324,TA,6,1,TA,Attchd,1965,RFn,2,440,TA,TA,Y,12,2006,WD,Abnorml,160000
42,20,RL,115,16905,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,1Fam,1Story,5,6,1959,1959,Gable,CompShg,TA,Gd,TA,TA,383,1350,GasA,Gd,Y,SBrkr,1328,0,1328,TA,5,2,Gd,Attchd,1959,RFn,1,308,TA,TA,P,7,2007,WD,Normal,170000
43,85,RL,NA,9180,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,TA,TA,Gd,TA,0,840,GasA,Gd,Y,SBrkr,884,0,884,Gd,5,0,NA,Attchd,1983,RFn,2,504,TA,Gd,Y,12,2007,WD,Normal,144000
44,20,RL,NA,9200,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,1Fam,1Story,5,6,1975,1980,Hip,CompShg,TA,TA,Gd,TA,167,938,GasA,TA,Y,SBrkr,938,0,938,TA,5,0,NA,Detchd,1977,Unf,1,308,TA,TA,Y,7,2008,WD,Normal,130250
45,20,RL,70,7945,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,6,1959,1959,Gable,CompShg,TA,TA,TA,TA,465,1150,GasA,Ex,Y,FuseA,1150,0,1150,TA,6,0,NA,Attchd,1959,RFn,1,300,TA,TA,Y,5,2006,WD,Normal,141000
46,120,RL,61,7658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,Ex,TA,Ex,TA,1296,1752,GasA,Ex,Y,SBrkr,1752,0,1752,Ex,6,1,Gd,Attchd,2005,RFn,2,576,TA,TA,Y,2,2010,WD,Normal,319900
47,50,RL,48,12822,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,Gd,TA,Ex,TA,83,1434,GasA,Ex,Y,SBrkr,1518,631,2149,Gd,6,1,Ex,Attchd,2003,RFn,2,670,TA,TA,Y,8,2009,WD,Abnorml,239686
48,20,FV,84,11096,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,1Fam,1Story,8,5,2006,2006,Gable,CompShg,Gd,TA,Gd,TA,1632,1656,GasA,Ex,Y,SBrkr,1656,0,1656,Gd,7,0,NA,Attchd,2006,RFn,3,826,TA,TA,Y,7,2007,WD,Normal,249700
49,190,RM,33,4456,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,TA,TA,TA,TA,736,736,GasA,Gd,Y,SBrkr,736,716,1452,TA,8,0,NA,NA,NA,NA,0,0,NA,NA,N,6,2009,New,Partial,113000
50,20,RL,66,7742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,7,1966,1966,Gable,CompShg,TA,TA,TA,TA,192,955,GasA,Ex,Y,SBrkr,955,0,955,TA,6,0,NA,Attchd,1966,Unf,1,386,TA,TA,Y,1,2007,WD,Normal,127000
51,60,RL,NA,13869,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,1Fam,2Story,6,6,1997,1997,Gable,CompShg,TA,TA,Gd,TA,612,794,GasA,Gd,Y,SBrkr,794,676,1470,TA,6,0,NA,Attchd,1997,Fin,2,388,TA,TA,Y,7,2007,WD,Normal,177000
52,50,RM,52,6240,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,TA,TA,TA,TA,816,816,GasA,TA,Y,SBrkr,816,0,1176,TA,6,1,Gd,Detchd,1985,Unf,2,528,TA,TA,Y,9,2006,WD,Normal,114500
53,90,RM,110,8472,Grvl,NA,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Fa,TA,Gd,TA,0,816,GasA,TA,N,SBrkr,816,0,816,TA,5,0,NA,CarPort,1963,Unf,2,516,TA,TA,Y,5,2010,WD,Normal,110000
54,20,RL,68,50271,Pave,NA,IR1,Low,AllPub,Inside,Gtl,Veenker,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,Gd,TA,Ex,TA,32,1842,GasA,Gd,Y,SBrkr,1842,0,1842,Gd,5,1,Gd,Attchd,1981,Fin,3,894,TA,TA,Y,11,2006,WD,Normal,385000
55,80,RL,60,7134,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,NAmes,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,TA,TA,TA,TA,0,384,GasA,TA,Y,SBrkr,1360,0,1360,TA,6,1,TA,Detchd,1962,Unf,2,572,TA,TA,Y,2,2007,WD,Normal,130000
56,20,RL,100,10175,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,6,5,1964,1964,Gable,CompShg,TA,TA,TA,TA,935,1425,GasA,Gd,Y,SBrkr,1425,0,1425,TA,7,1,Gd,Attchd,1964,RFn,2,576,TA,TA,Y,7,2008,WD,Normal,180500
57,160,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,Gd,TA,Gd,TA,321,970,GasA,Ex,Y,SBrkr,983,756,1739,Gd,7,0,NA,Attchd,1999,Fin,2,480,TA,TA,Y,8,2009,WD,Abnorml,172500
58,60,RL,89,11645,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,1Fam,2Story,7,5,2004,2004,Gable,CompShg,Gd,TA,Gd,TA,860,860,GasA,Ex,Y,SBrkr,860,860,1720,Gd,7,0,NA,Attchd,2004,RFn,2,565,TA,TA,Y,8,2006,WD,Normal,196500
59,60,RL,66,13682,Pave,NA,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,1Fam,2Story,10,5,2006,2006,Hip,CompShg,Ex,TA,Ex,TA,1410,1410,GasA,Ex,Y,SBrkr,1426,1519,2945,Gd,10,1,Gd,BuiltIn,2006,Fin,3,641,TA,TA,Y,10,2006,New,Partial,438780
60,20,RL,60,7200,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,5,7,1972,1972,Gable,CompShg,TA,TA,TA,TA,148,780,GasA,Ex,Y,SBrkr,780,0,780,TA,4,0,NA,Detchd,1973,Unf,1,352,TA,TA,Y,1,2008,WD,Normal,124900
61,20,RL,63,13072,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,1Fam,1Story,6,5,2004,2004,Gable,CompShg,TA,TA,Gd,TA,217,1158,GasA,Ex,Y,SBrkr,1158,0,1158,Gd,5,0,NA,Detchd,2006,Unf,2,576,TA,TA,Y,5,2006,New,Partial,158000
62,75,RM,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,TA,TA,TA,Fa,530,530,GasA,TA,N,SBrkr,581,530,1111,Fa,6,0,NA,Detchd,1935,Unf,1,288,TA,TA,N,3,2007,WD,Normal,101000
63,120,RL,44,6442,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,Gd,TA,Gd,Gd,1346,1370,GasA,Ex,Y,SBrkr,1370,0,1370,Gd,6,1,Gd,Attchd,2006,RFn,2,484,TA,TA,Y,10,2007,WD,Normal,202500
64,70,RM,50,10300,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,OldTown,1Fam,2Story,7,6,1921,1950,Gable,CompShg,TA,TA,TA,TA,576,576,GasA,Gd,Y,SBrkr,902,808,1710,TA,9,0,NA,Detchd,1990,Unf,2,480,TA,TA,Y,4,2010,WD,Normal,140000
65,60,RL,NA,9375,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,7,5,1997,1998,Gable,CompShg,TA,TA,Gd,TA,318,1057,GasA,Ex,Y,SBrkr,1057,977,2034,Gd,8,0,NA,Attchd,1998,RFn,2,645,TA,TA,Y,2,2009,WD,Normal,219500
66,60,RL,76,9591,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,CompShg,Gd,TA,Ex,TA,1143,1143,GasA,Ex,Y,SBrkr,1143,1330,2473,Gd,9,1,Gd,BuiltIn,2004,RFn,3,852,TA,TA,Y,10,2007,WD,Normal,317000
67,20,RL,NA,19900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,7,5,1970,1989,Gable,CompShg,TA,TA,Gd,TA,1035,1947,GasA,TA,Y,SBrkr,2207,0,2207,TA,7,1,Gd,Attchd,1970,RFn,2,576,TA,TA,Y,7,2010,WD,Normal,180000
68,20,RL,72,10665,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2003,2003,Gable,CompShg,Gd,TA,Gd,TA,440,1453,GasA,Ex,Y,SBrkr,1479,0,1479,Gd,7,0,NA,Attchd,2003,RFn,2,558,TA,TA,Y,6,2007,WD,Normal,226000
69,30,RM,47,4608,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,1Fam,1Story,4,6,1945,1950,Gable,CompShg,TA,Gd,TA,TA,747,747,GasA,TA,Y,SBrkr,747,0,747,TA,4,0,NA,Attchd,1945,Unf,1,220,TA,TA,Y,6,2010,WD,Normal,80000
70,50,RL,81,15593,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,ClearCr,1Fam,1.5Fin,7,4,1953,1953,Gable,CompShg,Gd,TA,TA,TA,701,1304,GasW,TA,Y,SBrkr,1304,983,2287,TA,7,1,TA,Attchd,1953,Fin,2,667,TA,TA,Y,7,2006,WD,Normal,225000
71,20,RL,95,13651,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,7,6,1973,1973,Gable,CompShg,TA,Gd,Gd,TA,343,2223,GasA,Ex,Y,SBrkr,2223,0,2223,TA,8,2,Gd,Attchd,1973,Fin,2,516,TA,TA,Y,2,2007,WD,Normal,244000
72,20,RL,69,7599,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,1Fam,1Story,4,6,1982,2006,Gable,CompShg,TA,TA,TA,TA,280,845,GasA,TA,Y,SBrkr,845,0,845,TA,4,0,NA,Detchd,1987,Unf,2,360,TA,TA,Y,6,2007,WD,Normal,129500
73,60,RL,74,10141,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,1Fam,2Story,7,5,1998,1998,Gable,CompShg,TA,TA,Gd,TA,832,832,GasA,Gd,Y,SBrkr,885,833,1718,TA,7,1,TA,Attchd,1998,Fin,2,427,TA,TA,Y,12,2009,WD,Normal,185000
74,20,RL,85,10200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,7,1954,2003,Gable,CompShg,TA,TA,TA,TA,404,1086,GasA,Gd,Y,SBrkr,1086,0,1086,TA,6,0,NA,Attchd,1989,Unf,2,490,TA,TA,Y,5,2010,WD,Normal,144900
75,50,RM,60,5790,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,1Fam,2Story,3,6,1915,1950,Gambrel,CompShg,Gd,Gd,Fa,TA,840,840,GasA,Gd,N,SBrkr,840,765,1605,TA,8,0,NA,Detchd,1915,Unf,1,379,TA,TA,Y,5,2010,WD,Normal,107400
76,180,RM,21,1596,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Twnhs,SLvl,4,5,1973,1973,Gable,CompShg,TA,TA,Gd,TA,0,462,GasA,TA,Y,SBrkr,526,462,988,TA,5,0,NA,BuiltIn,1973,Unf,1,297,TA,TA,Y,11,2009,WD,Normal,91000
77,20,RL,NA,8475,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,4,7,1956,1956,Gable,CompShg,TA,TA,TA,TA,724,952,GasA,Ex,Y,FuseA,952,0,952,TA,4,0,NA,Detchd,1956,Unf,1,283,TA,TA,Y,4,2008,WD,Normal,135750
78,50,RM,50,8635,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,1Fam,1.5Fin,5,5,1948,2001,Gable,CompShg,TA,TA,TA,TA,295,672,GasA,TA,Y,SBrkr,1072,213,1285,TA,6,0,NA,Detchd,1948,Unf,1,240,TA,TA,Y,1,2008,WD,Normal,127000
